"Name","TID","InfoTID","SWF","ExportName","ExportNameConstruction","BuildResource","BuildCost","RequiredExpLevel","MaxCount","Width","Height","PassableSubtilesAtEdge","Icon","BaseGfx","ExportNameBase","IsRed","NotInShop","BPReward","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","LightsOn","DecoPath","ActiveEffect","ActiveEffectDelay","NationalFlag","RequiredTownHallLevel","UseObjectBottomLayer","IsFadedAndPassableInCombat"
"Up Arrow Flag","TID_DECORATION_UPARROW_FLAG",,"sc/buildings.sc","deco_uparrow_flag","generic_construction_state1","Elixir",15000,12,1,2,2,1,,,"deco_flagpole_base",,,,,,,,,,,,,,,,,,"TRUE"
"Skull Altar","TID_DECORATION_SKULL_ALTAR",,"sc/buildings.sc","deco_skullaltar","generic_construction_state1","Gold",500000,30,1,2,2,1,,1,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"USA Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Canada Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Italia Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Germany Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Finland Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Spain Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"France Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"GBR Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Brazil Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Sweden Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"China Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Norway Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Thailand Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"India Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Australia Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"South Korea Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Japan Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Turkey Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Indonesia Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Netherlands Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Philippines Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Singapore Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"PEKKA Statue","TID_DECORATION_PEKKA_STATUE",,"sc/buildings.sc","deco_pekka_statue","generic_construction_state1","Gold",1000000,75,1,2,2,1,,1,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"Russia Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Denmark Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"Greece Flag","TID_DECORATION_NATIONAL_FLAG",,"sc/buildings.sc","deco_white_flag","generic_construction_state1","Gold",100000,15,1,2,2,1,,,"deco_flagpole_base",,"TRUE",,,,,,,,,,,,,"TRUE",,,"TRUE"
"BK Statue","TID_DECORATION_BK_STATUE",,"sc/buildings.sc","deco_barbarian_king_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base","TRUE",,,,,,,,,,,,,,,,,"TRUE"
"Torch 2","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Gold2",5000,1,4,2,2,1,,,"deco_torch1_base",,,,1,,,,,,,"TRUE",,,,,,,"TRUE"
"Small_Pine Tree","TID_DECORATION_SMALL_PINETREE",,"sc/buildings2.sc","env_small_pine_tree_1x1","generic_construction_state1","Gold2",10000,40,4,2,2,1,,4,"pine_tree2_base",,,,1,,,,,,,,,,,,,,"TRUE"
"Big_Pine Tree","TID_DECORATION_PINETREE",,"sc/buildings2.sc","env_big_pine_tree_1x1","generic_construction_state1","Gold2",10000,40,4,2,2,1,,4,"pine_tree2_base",,,,1,,,,,,,,,,,,,,"TRUE"
"Old Barbarian Statue","TID_DECORATION_ANCIENT_BARBARIAN_STATUE",,"sc/buildings2.sc","env_barbarian_stone_3x3","generic_construction_state1","Diamonds",250,60,1,3,3,1,,4,"large_stone_b_base",,,,1,,,,,,,,,,,,,,"TRUE"
"Stone Path","TID_STONE_PATH",,"sc/buildings2.sc","stone_path",,"Gold2",5000,50,25,1,1,1,,0,,,,,1,,,,,,,,"TRUE",,,,,"TRUE","FALSE"
"Archer Queen Statue","TID_DECORATION_ARCHER_QUEEN_STATUE",,"sc/buildings.sc","deco_archer_queen_statue","generic_construction_state1","Diamonds",500,50,1,2,2,1,,4,"pine_tree2_base",,,,1,,,,,,,"TRUE",,,,,,,"TRUE"
"Target","TID_TARGET",,"sc/buildings2.sc","deco_target",,"Gold2",20000,40,3,2,2,1,,,"deco_flowerbox1_base",,,,1,,,,,,,,,,,,,,"TRUE"
"Fireplace","TID_FIREPLACE",,"sc/buildings2.sc","Fireplace_01",,"Gold2",20000,40,2,2,2,1,,,"deco_flowerbox1_base",,,,1,,,,,,,"TRUE",,,,,,,"TRUE"
"Builder Statue","TID_DECORATION_BUILDER_STATUE",,"sc/buildings.sc","deco_builder_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"Rex Calibur","TID_DECORATION_SWORD_IN_STONE","TID_DECORATION_SWORD_IN_STONE_INFO","sc/buildings.sc","deco_swordstone_01","generic_construction_state1","Medals",2000,,1,2,2,1,,,"statue_base",,,,,,,,,,,"TRUE",,"Rex Calibur Lightning",3000,,,,"TRUE"
"League I Statue","TID_DECORATION_LEAGUE_I_STATUE","TID_DECORATION_LEAGUE_III_STATUE_INFO","sc/buildings.sc","deco_leagueI_statue","generic_construction_state1","Medals",1000,,1,2,2,1,,,"statue_base",,,,,,,,,,,"TRUE",,,,,,,"TRUE"
"League II Statue","TID_DECORATION_LEAGUE_II_STATUE","TID_DECORATION_LEAGUE_II_STATUE_INFO","sc/buildings.sc","deco_leagueII_statue","generic_construction_state1","Medals",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,"TRUE",,,,,,,"TRUE"
"League III Statue","TID_DECORATION_LEAGUE_III_STATUE","TID_DECORATION_LEAGUE_I_STATUE_INFO","sc/buildings.sc","deco_leagueIII_statue","generic_construction_state1","Medals",250,,1,2,2,1,,,"statue_base",,,,,,,,,,,"TRUE",,,,,,,"TRUE"
"Shield Statue","TID_DECORATION_WAR_SHIELD","TID_DECORATION_WAR_SHIELD_INFO","sc/buildings.sc","deco_shield_statue","generic_construction_state1","Medals",100,,1,2,2,1,,,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"Golden Hog","TID_DECORATION_GOLDEN_HOG","TID_DECORATION_GOLDEN_HOG_INFO","sc/buildings.sc","deco_golden_hog","generic_construction_state1","Diamonds",500,,3,2,2,1,,,"statue_base",,,,,,,,,,,"TRUE",,"Fortune_tap_01",,,,,"TRUE"
"Firecrackers","TID_DECORATION_FIRECRACKER","TID_DECORATION_FIRECRACKER","sc/buildings.sc","deco_firecrackers","generic_construction_state1","Diamonds",500,,3,2,2,1,,,"deco_lantern_base",,,,1,,,,,,,"TRUE",,"Fireworks_tap_01",,,,,"TRUE"
"Snowman","TID_DECORATION_SNOWMAN","TID_DECORATION_SNOWMAN_INFO","sc/buildings.sc","deco_snowman","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"deco_snowman_base",,,,,,,,,,,"TRUE",,"Snow_tap_01",,,,,"TRUE"
"BattlePassSnowman","TID_DECORATION_SNOWMAN","TID_DECORATION_SNOWMAN_INFO","sc/buildings.sc","deco_snowman","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"deco_snowman_base",,,,,,,,,,,,,"Snow_tap_01",,,,,"TRUE"
"BattleMachineStatue","TID_DECORATION_BATTLEMACHINE",,"sc/buildings.sc","deco_battle_machine_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,4,"pine_tree2_base",,,,1,,,,,,,"TRUE",,,,,,,"TRUE"
"Dragon Statue","TID_DECORATION_DRAGON_STATUE",,"sc/buildings.sc","deco_dragon_statue","generic_construction_state1","Diamonds",500,,1,3,3,1,,1,"deco_base_3x3",,,,,,,,,,,"TRUE",,"Dragon Statue Click",2000,,,,"TRUE"
"Golden Goblin","TID_DECORATION_GOLDEN_GOBLIN","TID_DECORATION_GOLDEN_GOBLIN_INFO","sc/buildings.sc","deco_golden_goblin","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,"TRUE",,"Fortune_tap_01",,,,,"TRUE"
"SuperTroopStatue","TID_DECORATION_SUPER_TROOP_STATUE","TID_DECORATION_SUPER_TROOP_STATUE_INFO","sc/buildings.sc","deco_supertroop_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base",,,,,,,,,,,"TRUE",,,,,,,"TRUE"
"ShortFilmStatue","TID_DECORATION_SHORT_FILM_STATUE","TID_DECORATION_SHORT_FILM_STATUE_INFO","sc/buildings.sc","deco_short_film_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"SC 10Year Fountain","TID_DECORATION_10_YEAR_FOUNTAIN","TID_DECORATION_10_YEAR_FOUNTAIN_INFO","sc/buildings.sc","deco_sc10y","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,,,"Tap SC10 Deco",400,,,,"TRUE"
"Clockwork Statue","TID_DECORATION_CLOCKWORK_STATUE","TID_DECORATION_CLOCKWORK_STATUE_INFO","sc/buildings.sc","deco_clockwork","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,"TRUE",,"Tap Stone Deco",,,,,"TRUE"
"8 Year Birthday Statue","TID_DECORATION_8YEAR_BIRTHDAY_STATUE","TID_DECORATION_8YEAR_BIRTHDAY_STATUE_INFO","sc/buildings.sc","deco_8ybday","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"Pirate Deco","TID_DECORATION_PIRATE_ANCHOR","TID_DECORATION_PIRATE_ANCHOR_INFO","sc/buildings.sc","deco_pirate","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"Logmas Deco","TID_DECO_LOGMAS_TREE",,"sc/buildings.sc","deco_logmas","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,"TRUE",,,,,,,"TRUE"
"Golden Wall Breaker","TID_DECO_FIREWORK_FANBOY",,"sc/buildings.sc","deco_Golden_WB","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,"TRUE",,"Fireworks_tap_01",,,,,"TRUE"
"Jungle Deco","TID_DECO_TH14_FOUNTAIN",,"sc/buildings.sc","deco_jungle","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"9 Year Birthday Statue","TID_DECORATION_9YEAR_BIRTHDAY_STATUE","TID_DECORATION_9YEAR_BIRTHDAY_STATUE_INFO","sc/buildings.sc","deco_anniversary_9y","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,"TRUE",,,,,,,"TRUE"
"Fallen Wizard Statue","TID_WIZARD_STATUE",,"sc/buildings.sc","CC_wizard_deco","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"10 Year Birthday Statue","TID_DECORATION_10YEAR_BIRTHDAY_STATUE","TID_DECORATION_10YEAR_BIRTHDAY_STATUE_INFO","sc/buildings.sc","deco_anniversary_10y","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,"TRUE",,,,,,,"TRUE"
"Clash Fest Statue","TID_DECORATION_CLASH_FEST_22_STATUE","TID_DECORATION_CLASH_FEST_22_STATUE_INFO","sc/buildings.sc","deco_clash_fest_22","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,"TRUE",,,,,,,"TRUE"
"Clashmas22 Deco","TID_DECORATION_CLASHMAS_22","TID_DECORATION_CLASMAS_22_INFO","sc/buildings.sc","clashmas22_deco","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,"TRUE",,,,,,,"TRUE"
"LNY2023Statue","TID_STATUE_LNY_2023","TID_STATUE_LNY_2023_INFO","sc/buildings.sc","deco_magic_show_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"Baby Dragon Painted","TID_DECO_PAINTED_BABY_DRAGON","TID_DECO_PAINTED_BABY_DRAGON","sc/buildings.sc","baby_dragon_painted_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"Dark Ages Dragon_Statue","TID_DECO_DARK_AGES_DRAGON","TID_DECO_DARK_AGES_DRAGON_INFO","sc/buildings.sc","dark ages dragon","generic_construction_state1","Diamonds",500,,2,2,2,1,,,"statue_base",,,,,,,,,,,,,"TapDarkAgesSkull Deco",,,,,"TRUE"
"BB2 Bonfire","TID_FIREPLACE",,"sc/buildings2.sc","env_bb2_bonefire_1x1",,"Gold2",200000,40,4,2,2,1,,,,,,,1,,,,,,,"TRUE",,,,,6,,"TRUE"
"BB2 Torch","TID_DECORATION_TORCH",,"sc/buildings2.sc","env_bb2_turch_1x1",,"Gold2",250000,1,4,2,2,1,,,,,,,1,,,,,,,"TRUE",,,,,6,,"TRUE"
"BB2 Target","TID_TARGET",,"sc/buildings2.sc","env_bb2_target_2x2",,"Gold2",500000,40,3,2,2,1,,,,,,,1,,,,,,,"FALSE",,,,,6,,"TRUE"
"Terry Statue","TID_BOOKS_OF_CLASH",,"sc/buildings.sc","deco_terry_statue","generic_construction_state1","Gold",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"BB2 Statue","TID_MASTER_BUILDER'S_RETURN",,"sc/buildings.sc","deco_notsochutulhu",,"Diamonds",500,,1,2,2,1,,,"pine_tree2_base",,,,1,,,,,,,"TRUE",,,,,,,"TRUE"
"Goblin Gold Chest","TID_DECO_GOBLIN_CHEST",,"sc/buildings.sc","deco_goblin_goldchest_2x2","generic_construction_state1","Gold",500,,1,2,2,1,,,,,,,,,,,,,,,,,,,,,"TRUE"
"Goblin Gold Cart","TID_DECO_GOBLIN_CART",,"sc/buildings.sc","deco_goblin_goldcart_2x2","generic_construction_state1","Gold",500,,1,3,3,1,,,,,,,,,,,,,,,,,,,,,"TRUE"
"Placeholder Flag1","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,,0,2,2,1,,,"deco_torch1_base",,"TRUE",,,,,,,,,"TRUE",,,,"TRUE",,,"TRUE"
"Placeholder Flag2","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,,0,2,2,1,,,"deco_torch1_base",,"TRUE",,,,,,,,,"TRUE",,,,"TRUE",,,"TRUE"
"Placeholder Flag3","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,,0,2,2,1,,,"deco_torch1_base",,"TRUE",,,,,,,,,"TRUE",,,,"TRUE",,,"TRUE"
"Placeholder Flag4","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,,0,2,2,1,,,"deco_torch1_base",,"TRUE",,,,,,,,,"TRUE",,,,"TRUE",,,"TRUE"
"Placeholder Flag5","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,,0,2,2,1,,,"deco_torch1_base",,"TRUE",,,,,,,,,"TRUE",,,,"TRUE",,,"TRUE"
"Placeholder Flag6","TID_DECORATION_TORCH",,"sc/buildings.sc","deco_torch1",,"Elixir",500,,0,2,2,1,,,"deco_torch1_base",,"TRUE",,,,,,,,,"TRUE",,,,"TRUE",,,"TRUE"
"Goblin Cellar","TID_DECO_GOBLIN_CELLAR",,"sc/buildings.sc","deco_goblin_gate_2x2","generic_construction_state1","Gold",500,,1,2,2,1,,,,,,,,,,,,,,,,,,,,"TRUE","TRUE"
"Goblin Dragon Statue","TID_DECO_GOBLIN_DRAGON_STATUE",,"sc/buildings.sc","deco_goblin_cave_2x2","generic_construction_state1","Gold",500,,1,2,2,1,,,,,,,,,,,,,,,,,,,,,"TRUE"
"Goblin Barrel","TID_DECO_GOBLIN_BARREL",,"sc/buildings.sc","deco_goblin_barrel_2x2","generic_construction_state1","Gold",500,,1,2,2,1,,,,,,,,,,,,,,,,,,,,,"TRUE"
"CWL hammer","TID_DECO_CWL_HAMMER",,"sc/buildings.sc","deco_CWL_hammer_2x2","generic_construction_state1","Medals",500,,1,2,2,1,,,,,,,,,,,,,,,,,,,,,"TRUE"
"CWL shield","TID_DECO_CWL_SHIELD",,"sc/buildings.sc","deco_CWL_shield_2x2","generic_construction_state1","Medals",500,,1,2,2,1,,,,,,,,,,,,,,,,,,,,,"TRUE"
"Razer Promo Deco","TID_DECO_RAZER_PROMO",,"sc/buildings.sc","deco_razer_promo_statue","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"Barbarian Flexing Statue 2023","TID_DECO_FLEXING_BARB",,"sc/buildings.sc","deco_barbarian_flexing_statue_2023","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"Halloween2023_coffin","TID_DECO_COFFIN",,"sc/buildings.sc","deco_halloween23_coffin","generic_construction_state1","Diamonds",500,,3,2,2,1,,,"deco_flowerbox1_base",,,,,,,,,,,,,"Tap_Halloween23_coffin_deco",,,,,"TRUE"
"Halloween2023_clown_statue","TID_DECO_CLOWN",,"sc/buildings.sc","deco_halloween23_clown","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"statue_base",,,,,,,,,,,,,,,,,,"TRUE"
"Halloween2023_dead_jakuzzi","TID_DECO_DEAD_JAKUZZI",,"sc/buildings.sc","deco_dead_jacuzzi","generic_construction_state1","Diamonds",500,,3,2,2,1,,,,,,,,,,,,,,,,"Tap_Halloween23_jakuzzi_deco",,,,,"TRUE"
"Halloween2023_scarecrow","TID_DECO_SCARECROW",,"sc/buildings.sc","deco_scarecrow","generic_construction_state1","Diamonds",500,,3,2,2,1,,,"deco_goblinpole_base",,,,,,,,,,,,,"Tap_Halloween23_scarecrow_deco",,,,,"TRUE"
"Halloween2023_completion_cauldron","TID_BUILDING_CLASHOWEEN_BUILDING",,"sc/buildings.sc","deco_sour_elixir_cauldron_2x2",,"Diamonds",500,,1,2,2,1,,,,,,,,,,,,,,,,,,,,,"TRUE"
"World Finals23 Statue","TID_WORLD_FINALS_23_STATUE",,"sc/buildings.sc","world_finals_23_deco","generic_construction_state1","Diamonds",500,,1,2,2,1,,,,,,,,,,,,,,"TRUE",,,,,,,"TRUE"
"Fountain Rework","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_fountain_rework","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,,,,,,,,,,,,,,,,,,,"TRUE"
"Bath","TID_DECO_DUCK_POND",,"sc/buildings.sc","deco_homevillage_bath","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,,,,,,,,,,,,,,,,,,,"TRUE"
"Box2","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_box2","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,,"TRUE"
"Beet","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_beet","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,"TRUE","TRUE"
"Carrot","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_carrot","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,"TRUE","TRUE"
"Corn","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_corn","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,"TRUE","TRUE"
"Fertilizer","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_fertilizer","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,,"TRUE"
"Hog Park","TID_DECO_HOG_PEN",,"sc/buildings.sc","deco_homevillage_hog","generic_construction_state1","Diamonds",500,,1,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,"TRUE","TRUE"
